,songs,artists
0,Jimmy Cooks,Drake Featuring 21 Savage
1,As It Was,Harry Styles
2,First Class,Jack Harlow
3,Wait For U,Future Featuring Drake & Tems
4,About Damn Time,Lizzo
5,Sticky,Drake
6,Falling Back,Drake
7,Glimpse Of Us,Joji
8,Running Up That Hill (A Deal With God),Kate Bush
9,Heat Waves,Glass Animals
10,Me Porto Bonito,Bad Bunny & Chencho Corleone
11,Big Energy,Latto
12,Texts Go Green,Drake
13,Massive,Drake
14,Break My Soul,Beyonce
15,Titi Me Pregunto,Bad Bunny
16,Wasted On You,Morgan Wallen
17,The Kind Of Love We Make,Luke Combs
18,Stay,The Kid LAROI & Justin Bieber
19,Calling My Name,Drake
20,A Keeper,Drake
21,I Like You (A Happier Song),Post Malone Featuring Doja Cat
22,Currents,Drake
23,Late Night Talking,Harry Styles
24,Boyfriend,Dove Cameron
25,Ghost,Justin Bieber
26,Numb Little Bug,Em Beihold
27,Flight's Booked,Drake
28,Bad Habits,Ed Sheeran
29,Enemy,Imagine Dragons X JID
30,Get Into It (Yuh),Doja Cat
31,Moscow Mule,Bad Bunny
32,Sunroof,Nicky Youre & dazy
33,Woman,Doja Cat
34,Cold Heart (PNAU Remix),Elton John & Dua Lipa
35,Bam Bam,Camila Cabello Featuring Ed Sheeran
36,Thats What I Want,Lil Nas X
37,Super Gremlin,Kodak Black
38,Shivers,Ed Sheeran
39,Provenza,Karol G
40,You Proof,Morgan Wallen
41,Overdrive,Drake
42,Take My Name,Parmalee
43,Sweetest Pie,Megan Thee Stallion & Dua Lipa
44,Efecto,Bad Bunny
45,Like I Love Country Music,Kane Brown
46,Liability,Drake
47,AA,Walker Hayes
48,Thousand Miles,The Kid LAROI
49,Something In The Orange,Zach Bryan
50,Party,Bad Bunny & Rauw Alejandro
51,U-Digg,"Lil Baby, 42 Dugg & Veeze"
52,Despues de La Playa,Bad Bunny
53,Trouble With A Heartbreak,Jason Aldean
54,Cooped Up,Post Malone Featuring Roddy Ricch
55,2step,Ed Sheeran Featuring Lil Baby
56,Ojitos Lindos,Bad Bunny & Bomba Estereo
57,Puffin On Zootiez,Future
58,Damn Strait,Scotty McCreery
59,Fall In Love,Bailey Zimmerman
60,Hold My Hand,Lady Gaga
61,Down Hill,Drake
62,In A Minute,Lil Baby
63,MAMIII,Becky G X Karol G
64,Sleazy Flow,SleazyWorld Go Featuring Lil Baby
65,Tie That Binds,Drake
66,Vegas,Doja Cat
67,Yet To Come,BTS
68,When You're Gone,Shawn Mendes
69,What Happened To Virgil,Lil Durk Featuring Gunna
70,Silent Hill,Kendrick Lamar & Kodak Black
71,Rock And A Hard Place,Bailey Zimmerman
72,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator"
73,To The Moon!,JNR CHOI & Sam Tompkins
74,Tarot,Bad Bunny & Jhay Cortez
75,She Had Me At Heads Carolina,Cole Swindell
76,She Likes It,Russell Dickerson & Jake Scott
77,I Ain't Worried,OneRepublic
78,Flower Shops,ERNEST Featuring Morgan Wallen
79,Ghost Story,Carrie Underwood
80,Te Felicito,Shakira & Rauw Alejandro
81,Hotel Lobby (Unc And Phew),Quavo & Takeoff
82,Music For A Sushi Restaurant,Harry Styles
83,Un Ratito,Bad Bunny
84,Last Night Lonely,Jon Pardi
85,Thought You Should Know,Morgan Wallen
86,So Good,Halsey
87,5 Foot 9,Tyler Hubbard
88,Wild As Her,Corey Kent
89,Right On,Lil Baby
90,Circles Around This Town,Maren Morris
91,Tomorrow Me,Luke Combs
92,7500 OBO,Tim McGraw
93,Die Young,Sleepy Hallow Featuring 347aidan
94,F.N.F. (Let's Go),Hitkidd & Glorilla
95,N95,Kendrick Lamar
96,Love Me More,Sam Smith
97,New Truck,Dylan Scott
98,She's All I Wanna Be,Tate McRae
99,Desesperados,Rauw Alejandro & Chencho Corleone
